Contract A,Contract B,Similarity,Size A,Size B
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x3328.sol,94.92,35097,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xec53.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35070,44163
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x85ec.sol,94.85,23776,28908
BeaconProxy_0x1f5f.sol,TransparentUpgradeableProxy_0x85ec.sol,94.85,23776,28908
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x1c47.sol,94.85,23776,28908
BeaconProxy_0x1f5f.sol,TransparentUpgradeableProxy_0x1c47.sol,94.85,23776,28908
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0x46ea.sol,94.83,36317,40127
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0xfaf1.sol,94.83,36317,40127
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x6c96.sol,94.83,23776,28886
BeaconProxy_0x1f5f.sol,TransparentUpgradeableProxy_0x6c96.sol,94.83,23776,28886
TransparentUpgradeableProxy_0x3302.sol,TransparentUpgradeableProxy_0xf668.sol,94.83,36317,40127
ERC1967Proxy_0xc2f2.sol,ERC1967Proxy_0x9ccc.sol,94.79,21946,22647
Diamond_0xb300.sol,RangoDiamond_0x6946.sol,94.77,20096,14855
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0xf668.sol,94.74,36734,40127
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xfaf1.sol,94.74,36734,40127
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x46ea.sol,94.74,36734,40127
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0x2222.sol,94.74,22127,23429
ERC1967Proxy_0x8e02.sol,ERC1967Proxy_0x2222.sol,94.74,22205,23429
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0xb773.sol,94.71,29086,26631
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0xee7a.sol,94.71,29086,26631
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0xebf6.sol,94.71,29086,26631
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0xb007.sol,94.71,29086,26631
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x02b8.sol,94.69,23776,29086
BeaconProxy_0x1f5f.sol,TransparentUpgradeableProxy_0x02b8.sol,94.69,23776,29086
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x6c96.sol,94.67,25143,28886
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x85ec.sol,94.66,25143,28908
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x1c47.sol,94.66,25143,28908
FixedToken_0xd441.sol,SimpleToken_0x4d22.sol,94.63,17919,16736
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0x3302.sol,94.61,24331,36317
AltLayerToken_0x8457.sol,MUSD_0xdd46.sol,94.59,90352,87500
UUPSProxy_0x031d.sol,PProxy_0x4c17.sol,94.59,24331,22504
FF_0xfa1c.sol,BTR_0x6c76.sol,94.59,150922,187609
JasmyCoin_0x7420.sol,ZigCoin_0xb261.sol,94.54,18886,19009
UUPSProxy_0x031d.sol,EthcoinProxy_0xe957.sol,94.53,24331,22502
ZamaERC20_0xa12c.sol,Succinct_0x6bef.sol,94.53,203390,145962
BeaconProxy_0x74a0.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.51,23776,28981
BeaconProxy_0x1f5f.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.51,23776,28981
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0xb3fa.sol,94.49,24331,36734
ZamaERC20_0xa12c.sol,NexiraToken_0xe387.sol,94.47,203390,164963
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x8e02.sol,94.41,23725,22205
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x1c47.sol,94.41,26631,28908
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x1c47.sol,94.41,26631,28908
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x4fef.sol,94.41,23725,22127
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x8e02.sol,94.41,23725,22205
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0xf4e1.sol,94.41,22127,23725
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0x7714.sol,94.41,22127,23309
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x1c47.sol,94.41,26631,28908
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x1c47.sol,94.41,26631,28908
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0x8e02.sol,ERC1967Proxy_0x7714.sol,94.41,22205,23309
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0xebf6.sol,94.39,28886,26631
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x6c96.sol,94.39,26631,28886
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x6c96.sol,94.39,26631,28886
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x6c96.sol,94.39,26631,28886
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0x2222.sol,94.38,36317,23429
ERC1967Proxy_0x9ccc.sol,VaultProxy_0x0e60.sol,94.38,22647,25499
TransparentUpgradeableProxy_0x3302.sol,VaultProxy_0x0e60.sol,94.37,36317,25499
UUPSProxy_0x031d.sol,ERC1967Proxy_0x4fef.sol,94.34,24331,22127
UUPSProxy_0x031d.sol,ERC1967Proxy_0x8e02.sol,94.34,24331,22205
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x2222.sol,94.32,22502,23429
ERC1967Proxy_0x46ea.sol,TransparentUpgradeableProxy_0x1d68.sol,94.29,40127,43091
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0x1d68.sol,94.29,40127,43091
ERC1967Proxy_0xfaf1.sol,TransparentUpgradeableProxy_0x1d68.sol,94.29,40127,43091
PProxy_0x4c17.sol,ERC1967Proxy_0x2222.sol,94.27,22504,23429
TransparentUpgradeableProxy_0xb3fa.sol,VaultProxy_0x0e60.sol,94.26,36734,25499
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x2222.sol,94.26,36734,23429
ZamaERC20_0xa12c.sol,BTR_0x6c76.sol,94.25,203390,187609
ForwarderV4_0x5389.sol,Forwarder_0xca32.sol,94.24,37464,35013
Forwarder_0xca32.sol,ForwarderV4_0xe65b.sol,94.24,35013,37464
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xb773.sol,94.22,23776,26631
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0xb007.sol,94.22,23776,26631
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0xb773.sol,94.22,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xb007.sol,94.22,23776,26631
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0xee7a.sol,94.22,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xee7a.sol,94.22,23776,26631
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0xebf6.sol,94.22,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xebf6.sol,94.22,23776,26631
TransparentUpgradeableProxy_0x1a88.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.14,25143,28981
ERC1967Proxy_0xb773.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.13,26631,28981
ERC1967Proxy_0xee7a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.13,26631,28981
ERC1967Proxy_0xebf6.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.13,26631,28981
ERC1967Proxy_0xb007.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.13,26631,28981
FixedToken_0xd441.sol,NipponIdolToken_0x8ca3.sol,94.12,17919,21388
ERC1967Proxy_0x8e02.sol,ERC1967Proxy_0x9ccc.sol,94.07,22205,22647
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0x9ccc.sol,94.07,22127,22647
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x18cc.sol,94.06,24631,35097
TransparentUpgradeableProxy_0x0366.sol,ERC1967Proxy_0x3ef3.sol,94.06,35070,24631
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x7598.sol,94.06,24631,35070
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x8be3.sol,94.06,24631,35070
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0xa129.sol,94.06,24631,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x3ef3.sol,94.06,35097,24631
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0xec53.sol,94.06,24631,35070
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xf4e1.sol,94.05,36734,23725
ERC1967Proxy_0x58d9.sol,TransparentUpgradeableProxy_0xb3fa.sol,94.05,23725,36734
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0x7714.sol,94.05,36317,23309
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0xf4e1.sol,94.05,36317,23725
ERC1967Proxy_0x58d9.sol,TransparentUpgradeableProxy_0x3302.sol,94.05,23725,36317
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x7714.sol,94.05,36734,23309
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x3d90.sol,94.05,24631,35060
ERC1967Proxy_0x58d9.sol,EthcoinProxy_0xe957.sol,93.98,23725,22502
ERC1967Proxy_0xf4e1.sol,EthcoinProxy_0xe957.sol,93.98,23725,22502
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x7714.sol,93.98,22502,23309
ERC1967Proxy_0xf4e1.sol,PProxy_0x4c17.sol,93.93,23725,22504
ERC1967Proxy_0x58d9.sol,PProxy_0x4c17.sol,93.93,23725,22504
ERC1967Proxy_0xc2f2.sol,ERC1967Proxy_0x2222.sol,93.93,21946,23429
PProxy_0x4c17.sol,ERC1967Proxy_0x7714.sol,93.93,22504,23309
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x1a88.sol,93.64,24631,25143
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0xc2f2.sol,93.58,23725,21946
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0xc2f2.sol,93.58,23725,21946
ERC1967Proxy_0xc2f2.sol,ERC1967Proxy_0x7714.sol,93.58,21946,23309
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x2e51.sol,93.5,29086,35097
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x0366.sol,93.5,29086,35070
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0xa129.sol,93.5,29086,35070
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x8be3.sol,93.5,29086,35070
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x18cc.sol,93.5,29086,35097
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x3d90.sol,93.5,29086,35060
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0xec53.sol,93.5,29086,35070
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x7598.sol,93.5,29086,35070
TokenMintERC20Token_0x95ad.sol,ZigCoin_0xb261.sol,93.49,16291,19009
Turbo_0xa359.sol,NipponIdolToken_0x8ca3.sol,93.41,21588,21388
UUPSProxy_0x031d.sol,ERC1967Proxy_0xc2f2.sol,93.38,24331,21946
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x9ccc.sol,93.38,22502,22647
ERC1967Proxy_0x604d.sol,TransparentUpgradeableProxy_0x3d90.sol,93.29,23612,35060
ERC1967Proxy_0x5ccb.sol,TransparentUpgradeableProxy_0x3d90.sol,93.29,23612,35060
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x604d.sol,93.28,35097,23612
TransparentUpgradeableProxy_0x0366.sol,ERC1967Proxy_0x604d.sol,93.28,35070,23612
TransparentUpgradeableProxy_0xa129.sol,ERC1967Proxy_0x604d.sol,93.28,35070,23612
TransparentUpgradeableProxy_0xa129.sol,ERC1967Proxy_0x5ccb.sol,93.28,35070,23612
ERC1967Proxy_0x604d.sol,TransparentUpgradeableProxy_0xec53.sol,93.28,23612,35070
TransparentUpgradeableProxy_0x0366.sol,ERC1967Proxy_0x5ccb.sol,93.28,35070,23612
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x5ccb.sol,93.28,35097,23612
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x5ccb.sol,93.28,35097,23612
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x604d.sol,93.28,35097,23612
TransparentUpgradeableProxy_0x8be3.sol,ERC1967Proxy_0x604d.sol,93.28,35070,23612
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x5ccb.sol,93.28,35070,23612
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x604d.sol,93.28,35070,23612
ERC1967Proxy_0x9ccc.sol,PProxy_0x4c17.sol,93.28,22647,22504
TransparentUpgradeableProxy_0x8be3.sol,ERC1967Proxy_0x5ccb.sol,93.28,35070,23612
ERC1967Proxy_0x5ccb.sol,TransparentUpgradeableProxy_0xec53.sol,93.28,23612,35070
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0x3d90.sol,93.26,28908,35060
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x3d90.sol,93.26,28908,35060
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x3d90.sol,93.25,28886,35060
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35070,28908
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35070,28908
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35097,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0xec53.sol,93.24,28908,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x85ec.sol,93.24,35097,28908
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x85ec.sol,93.24,35070,28908
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35070,28908
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x85ec.sol,93.24,35070,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x7598.sol,93.24,28908,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35070,28908
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x1c47.sol,93.24,35097,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x18cc.sol,93.24,28908,35097
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0xec53.sol,93.24,28908,35070
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0xa129.sol,93.24,28908,35070
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x18cc.sol,93.22,28886,35097
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x6c96.sol,93.22,35097,28886
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xa129.sol,93.22,28886,35070
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x8be3.sol,93.22,28886,35070
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xec53.sol,93.22,28886,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x6c96.sol,93.22,35070,28886
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x7598.sol,93.22,28886,35070
NexiraToken_0xe387.sol,Succinct_0x6bef.sol,93.13,164963,145962
TokenMintERC20Token_0x95ad.sol,JasmyCoin_0x7420.sol,93.13,16291,18886
OptimizedTransparentUpgradeableProxy_0x1732.sol,TransparentUpgradeableProxy_0x3d90.sol,92.93,28981,35060
TransparentUpgradeableProxy_0x0366.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35070,28981
TransparentUpgradeableProxy_0x7598.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35070,28981
OptimizedTransparentUpgradeableProxy_0x1732.sol,TransparentUpgradeableProxy_0xec53.sol,92.89,28981,35070
TransparentUpgradeableProxy_0x2e51.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35097,28981
TransparentUpgradeableProxy_0x18cc.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35097,28981
TransparentUpgradeableProxy_0xa129.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35070,28981
TransparentUpgradeableProxy_0x8be3.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,92.89,35070,28981
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x238a.sol,92.63,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x3328.sol,92.63,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x1a9d.sol,92.63,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x238a.sol,92.63,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xbca3.sol,92.63,38428,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0xbca3.sol,92.63,38428,44163
ERC1967Proxy_0xadf7.sol,ERC1967Proxy_0x6e2a.sol,92.63,44163,38428
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x3328.sol,92.63,38428,44163
ERC1967Proxy_0xadf7.sol,ERC1967Proxy_0x5c7b.sol,92.63,44163,38428
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x1a9d.sol,92.63,38428,44163
PProxy_0x4c17.sol,VaultProxy_0x0e60.sol,92.61,22504,25499
EthcoinProxy_0xe957.sol,VaultProxy_0x0e60.sol,92.56,22502,25499
TransparentUpgradeableProxy_0x33b4.sol,PProxy_0x4c17.sol,92.39,36593,22504
ERC1967Proxy_0x328f.sol,VaultProxy_0x0e60.sol,92.37,40825,25499
ERC1967Proxy_0x511c.sol,VaultProxy_0x0e60.sol,92.37,40825,25499
ERC1967Proxy_0x8e02.sol,VaultProxy_0x0e60.sol,92.36,22205,25499
ERC1967Proxy_0x4fef.sol,VaultProxy_0x0e60.sol,92.36,22127,25499
TransparentUpgradeableProxy_0x33b4.sol,EthcoinProxy_0xe957.sol,92.31,36593,22502
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x5c7b.sol,92.31,28886,38428
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x6e2a.sol,92.31,28886,38428
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x85ec.sol,92.26,38428,28908
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x1c47.sol,92.26,38428,28908
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x1c47.sol,92.26,38428,28908
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x85ec.sol,92.26,38428,28908
VaultProxy_0x0e60.sol,TransparentUpgradeableProxy_0x1d68.sol,92.24,25499,43091
NexiraToken_0xe387.sol,BTR_0x6c76.sol,92.19,164963,187609
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x43de.sol,92.15,28886,35765
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x6874.sol,92.15,28886,35765
BioToken_0xcb15.sol,PolygonEcosystemToken_0x455e.sol,92.11,72228,103575
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x43de.sol,92.1,28908,35765
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0x43de.sol,92.1,28908,35765
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0x6874.sol,92.1,28908,35765
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x6874.sol,92.1,28908,35765
UUPSProxy_0x031d.sol,ERC1967Proxy_0x328f.sol,92.05,24331,40825
UUPSProxy_0x031d.sol,ERC1967Proxy_0x511c.sol,92.05,24331,40825
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0xebf6.sol,92.04,25143,26631
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x1a88.sol,92.04,26631,25143
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x1a88.sol,92.04,26631,25143
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0xee7a.sol,92.04,25143,26631
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x8e02.sol,92.02,36593,22205
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x4fef.sol,92.02,36593,22127
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0x5ccb.sol,91.85,25143,23612
TransparentUpgradeableProxy_0x1a88.sol,ERC1967Proxy_0x604d.sol,91.85,25143,23612
TransparentUpgradeableProxy_0x33b4.sol,VaultProxy_0x0e60.sol,91.83,36593,25499
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0xf4e1.sol,91.8,36593,23725
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x58d9.sol,91.8,36593,23725
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x7714.sol,91.8,36593,23309
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0x33b4.sol,91.78,24331,36593
NexiraToken_0xe387.sol,FF_0xfa1c.sol,91.77,164963,150922
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x6874.sol,91.77,29086,35765
ERC1967Proxy_0x5c7b.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.77,38428,28981
ERC1967Proxy_0x6e2a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.77,38428,28981
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x43de.sol,91.77,29086,35765
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x1a9d.sol,91.71,28886,44163
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x238a.sol,91.71,28886,44163
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0xbca3.sol,91.71,29086,44163
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xbca3.sol,91.71,28886,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x6c96.sol,91.71,44163,28886
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x1a9d.sol,91.71,29086,44163
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x238a.sol,91.71,29086,44163
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0xadf7.sol,91.71,29086,44163
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x3328.sol,91.71,29086,44163
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x3328.sol,91.71,28886,44163
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x5c7b.sol,91.69,29086,38428
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x6e2a.sol,91.69,29086,38428
SynFuturesToken_0x6e15.sol,AethirToken_0xbe0e.sol,91.68,67820,96318
TransparentUpgradeableProxy_0x1a9d.sol,TransparentUpgradeableProxy_0x1c47.sol,91.66,44163,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x3328.sol,91.66,28908,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x1c47.sol,91.66,44163,28908
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0xbca3.sol,91.66,28908,44163
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x1a9d.sol,91.66,28908,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x85ec.sol,91.66,44163,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0xbca3.sol,91.66,28908,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x1c47.sol,91.66,44163,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x238a.sol,91.66,28908,44163
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x1c47.sol,91.66,44163,28908
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0x2222.sol,91.63,40825,23429
ENA_0x57e1.sol,AethirToken_0xbe0e.sol,91.63,76453,96318
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0x2222.sol,91.63,40825,23429
TransparentUpgradeableProxy_0x43de.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.55,35765,28981
TransparentUpgradeableProxy_0x6874.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.55,35765,28981
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x2222.sol,91.52,36593,23429
Turbo_0xa359.sol,SimpleToken_0x4d22.sol,91.44,21588,16736
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x1a88.sol,91.32,35097,25143
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x8be3.sol,91.32,25143,35070
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x3d90.sol,91.32,25143,35060
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x18cc.sol,91.32,25143,35097
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x7598.sol,91.32,25143,35070
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0xec53.sol,91.32,25143,35070
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0xa129.sol,91.32,25143,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x1a88.sol,91.32,35070,25143
AltLayerToken_0x8457.sol,SynFuturesToken_0x6e15.sol,91.31,90352,67820
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x9ccc.sol,91.29,36734,22647
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0x7714.sol,91.28,40825,23309
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xf4e1.sol,91.28,40825,23725
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x328f.sol,91.28,23725,40825
